projeto;idade;custo;receita;produção
3;0;3500;0;0
3;1;686,225195;0;0
3;2;676,225195;0;0
3;3;15052,15722;18001,85162;254,6951276
4;0;3500;0;0
4;1;686,225195;0;0
4;2;676,225195;0;0
4;3;606,225195;0;0
4;4;20880,12012;25274,45786;357,5899528
5;0;3500;0;0
5;1;686,225195;0;0
5;2;676,225195;0;0
5;3;606,225195;0;0
5;4;606,225195;0;0
5;5;25453,40304;30981,37235;438,3329422
6;0;3500;0;0
6;1;686,225195;0;0
6;2;676,225195;0;0
6;3;606,225195;0;0
6;4;606,225195;0;0
6;5;606,225195;0;0
6;6;29062,53412;35485,13974;502,0534768
7;0;3500;0;0
7;1;686,225195;0;0
7;2;676,225195;0;0
7;3;606,225195;0;0
7;4;606,225195;0;0
7;5;606,225195;0;0
7;6;606,225195;0;0
7;7;31957,45308;39097,65513;553,164334
8;0;3500;0;0
8;1;686,225195;0;0
8;2;676,225195;0;0
8;3;606,225195;0;0
8;4;606,225195;0;0
8;5;606,225195;0;0
8;6;606,225195;0;0
8;7;606,225195;0;0
8;8;34320,45698;42046,40365;594,8840358
9;0;3500;0;0
9;1;686,225195;0;0
9;2;676,225195;0;0
9;3;606,225195;0;0
9;4;606,225195;0;0
9;5;606,225195;0;0
9;6;606,225195;0;0
9;7;606,225195;0;0
9;8;606,225195;0;0
9;9;36280,88833;44492,78938;629,4961712
10;0;3500;0;0
10;1;686,225195;0;0
10;2;676,225195;0;0
10;3;606,225195;0;0
10;4;606,225195;0;0
10;5;606,225195;0;0
10;6;606,225195;0;0
10;7;606,225195;0;0
10;8;606,225195;0;0
10;9;606,225195;0;0
10;10;37931,04619;46551,99061;658,6303142
